Home team,Away team,Home score,Away score,Home odds,Draw odds,Away odds
Force,Brumbies,14,31,4.84,28.99,1.19
Blues,Hurricanes,19,23,1.77,21.16,2.1
Sharks,Jaguares,19,15,1.58,22.51,2.43
Cheetahs,Stormers,10,20,3.12,23.77,1.38
Bulls,Rebels,45,25,1.49,23.78,2.69
Reds,Force,6,22,1.63,21.52,2.35
Highlanders,Hurricanes,17,16,1.47,22.36,2.78
Chiefs,Lions,32,36,1.17,31.91,4.96
Brumbies,Waratahs,32,15,1.36,24.55,3.26
Crusaders,Blues,28,13,1.53,23.05,2.56
Stormers,Bulls,33,9,1.37,22.81,3.18
Kings,Sharks,8,43,5.08,29.86,1.17
Force,Rebels,19,25,1.82,19.79,2.05
Waratahs,Reds,30,10,1.13,30.51,5.84
Crusaders,Chiefs,21,27,1.75,20.23,2.13
Sunwolves,Lions,13,26,5.14,31.62,1.16
Cheetahs,Jaguares,33,34,3.35,24.35,1.33
Brumbies,Hurricanes,52,10,1.51,21.55,2.6
Blues,Highlanders,33,31,2.25,21.09,1.68
Hurricanes,Highlanders,14,21,1.38,21.7,3.14
Waratahs,Highlanders,17,35,1.55,20.35,2.54
Hurricanes,Brumbies,29,9,1.27,23.31,3.92
Stormers,Brumbies,19,39,1.66,19.99,2.28
Highlanders,Chiefs,24,14,1.55,20.26,2.53
Sharks,Stormers,34,12,1.27,22.45,3.8
Bulls,Cheetahs,29,42,1.1,31.15,6.4
Waratahs,Reds,31,5,1.14,26.89,5.61
Chiefs,Hurricanes,13,21,1.46,21.39,2.77
Brumbies,Crusaders,24,37,1.54,20.79,2.49
Rebels,Force,11,13,1.24,25.24,4.03
Blues,Highlanders,7,44,4.36,25.8,1.21
Stormers,Lions,19,19,1.34,22.82,3.27
Cheetahs,Waratahs,33,58,4.45,24.39,1.21
Reds,Chiefs,3,24,2.46,21.18,1.56
Blues,Crusaders,11,34,4.46,24.75,1.2
Rebels,Bulls,21,20,1.77,20.39,2.08
Force,Brumbies,20,33,3.69,23.08,1.29
Hurricanes,Highlanders,56,20,1.26,24.36,3.9
Lions,Waratahs,27,22,2.13,20.52,1.74
Stormers,Cheetahs,42,12,1.13,31.06,5.91
Force,Reds,10,32,1.65,20.43,2.3
Highlanders,Chiefs,36,9,1.61,20.5,2.4
Sharks,Rebels,25,21,1.35,24.2,3.27
Brumbies,Bulls,22,16,1.32,23.51,3.46
Crusaders,Hurricanes,35,18,2.4,20.09,1.6
Stormers,Rebels,31,15,1.2,26.99,4.64
Cheetahs,Lions,17,40,2.25,20.63,1.68
Force,Highlanders,3,23,2.72,21.82,1.49
Waratahs,Crusaders,32,22,1.67,20.36,2.27
Blues,Hurricanes,5,29,2.89,21.95,1.43
Reds,Sharks,14,21,1.79,20.32,2.06
Chiefs,Bulls,34,20,1.39,22.48,3.1
Cheetahs,Highlanders,24,45,2.65,21.89,1.5
Lions,Brumbies,20,30,2.08,20.57,1.77
Waratahs,Sharks,33,18,1.24,24.03,4.09
Hurricanes,Chiefs,22,18,1.38,21.37,3.14
Reds,Rebels,46,29,2.33,20.21,1.63
Blues,Bulls,23,18,2.13,19.67,1.73
Stormers,Brumbies,25,24,1.59,20.63,2.43
Lions,Highlanders,28,23,2.01,20,1.83
Force,Waratahs,18,11,3.59,22.93,1.3
Hurricanes,Sharks,32,24,1.2,25.93,4.59
Rebels,Blues,42,22,1.58,21.49,2.45
Crusaders,Reds,58,17,1.09,34.57,7.52
Bulls,Lions,35,33,1.31,21.95,3.6
Cheetahs,Stormers,25,17,3.07,21.47,1.39
Rebels,Chiefs,16,15,2.84,21.6,1.44
Hurricanes,Crusaders,29,23,1.52,20.62,2.6
Blues,Force,41,24,1.29,22.46,3.73
Brumbies,Waratahs,10,13,1.79,19.75,2.08
Highlanders,Sharks,48,15,1.32,22.26,3.5
Reds,Hurricanes,19,35,3.35,22.28,1.33
Stormers,Bulls,15,13,1.64,20.17,2.31
Lions,Cheetahs,34,29,1.27,23.87,3.84
Waratahs,Rebels,18,16,1.21,26.94,4.39
Crusaders,Blues,29,15,1.26,24.33,3.88
Brumbies,Highlanders,31,18,1.35,22.51,3.3
Chiefs,Force,35,27,1.11,30.55,6.61
Cheetahs,Reds,17,18,1.39,22.04,3.08
Sharks,Bulls,10,17,1.91,19.97,1.92
Force,Stormers,6,13,2.83,20.97,1.44
Brumbies,Rebels,8,13,1.25,24.76,4.01
Highlanders,Blues,30,24,1.38,22.81,3.11
Hurricanes,Waratahs,24,29,1.43,22.2,2.88
Crusaders,Chiefs,9,26,1.66,20.81,2.28
Bulls,Reds,43,22,1.1,30.09,6.46
Lions,Sharks,23,21,1.68,20.76,2.22
Force,Cheetahs,15,24,1.5,21.47,2.61
Waratahs,Stormers,18,32,1.25,23.87,3.95
Crusaders,Highlanders,20,25,1.28,24.02,3.71
Blues,Brumbies,16,14,2.17,20.89,1.71
Lions,Bulls,22,18,2.2,20.26,1.69
Sharks,Crusaders,10,52,1.79,20.18,2.06
Brumbies,Cheetahs,20,3,1.12,30.18,6.13
Chiefs,Blues,23,16,1.21,26.96,4.36
Rebels,Reds,23,15,1.66,20.59,2.26
Hurricanes,Stormers,25,20,1.28,24.51,3.73
Bulls,Crusaders,31,19,2.09,20.08,1.78
Sharks,Force,15,9,1.17,26.6,4.94
Waratahs,Blues,23,11,1.18,26.35,4.8
Highlanders,Stormers,39,21,1.59,20.29,2.4
Chiefs,Cheetahs,37,27,1.06,32.74,8.59
Reds,Lions,17,18,1.35,22.53,3.26
Hurricanes,Rebels,36,12,1.15,28.42,5.5
Waratahs,Brumbies,28,13,1.8,20.52,2.06
Sharks,Chiefs,12,11,1.67,20.74,2.26
Bulls,Force,25,24,1.12,29.27,6.33
Crusaders,Cheetahs,57,14,1.07,34.08,8.57
Rebels,Lions,16,20,1.33,22.54,3.46
Highlanders,Hurricanes,13,20,2.12,20.39,1.76
Cheetahs,Sharks,10,27,2.18,20.28,1.71
Stormers,Chiefs,19,28,1.76,20.5,2.1
Reds,Brumbies,0,29,3.73,23.52,1.28
Highlanders,Waratahs,26,19,2.35,21.32,1.61
Crusaders,Lions,34,6,1.08,31.09,7.58
Force,Rebels,17,21,1.7,20.67,2.19
Hurricanes,Blues,30,23,1.19,25.61,4.88
Stormers,Sharks,29,13,1.64,19.87,2.3
Cheetahs,Bulls,20,39,2.06,20.15,1.79
Reds,Waratahs,5,23,3.12,22.47,1.38
Blues,Lions,10,13,1.17,26.45,5
Brumbies,Force,27,15,1.13,28.08,6.02
Chiefs,Highlanders,17,20,1.19,24.98,4.74
Lions,Stormers,19,22,2.63,21.2,1.51
Bulls,Sharks,43,35,1.85,20.08,2
Rebels,Brumbies,15,20,3.25,22.42,1.36
Chiefs,Crusaders,40,16,1.47,21.18,2.72
Cheetahs,Blues,25,24,1.61,20.69,2.36
Force,Hurricanes,13,42,2.35,20.33,1.63
Highlanders,Reds,20,13,1.33,22.47,3.36
Sharks,Lions,29,12,1.22,24.44,4.26
Stormers,Blues,27,16,1.37,23.08,3.09
Reds,Force,18,6,2.02,18.73,1.84
Highlanders,Crusaders,20,26,2.28,20.14,1.65
Bulls,Hurricanes,13,17,1.51,21.41,2.6
Rebels,Waratahs,28,38,3.15,21.31,1.37
Chiefs,Brumbies,19,17,1.48,21.72,2.69
Waratahs,Force,13,25,1.13,27.61,5.98
Bulls,Stormers,17,29,1.3,22.12,3.57
Sharks,Cheetahs,29,35,1.17,24.87,5.04
Blues,Chiefs,18,23,1.96,20.01,1.88
Lions,Hurricanes,8,22,2.07,19.71,1.78
Brumbies,Reds,47,3,1.29,23.09,3.71
Crusaders,Rebels,10,20,1.14,27.08,5.52
Waratahs,Crusaders,33,32,1.76,20.21,2.09
Waratahs,Brumbies,26,8,1.33,22,3.34
Crusaders,Sharks,38,6,1.29,23.48,3.53
Sharks,Highlanders,31,27,1.13,30.27,5.73
Brumbies,Chiefs,32,30,1.51,20.31,2.55
Stormers,Sharks,10,34,1.77,19.31,2.06
Lions,Cheetahs,60,25,1.72,19.5,2.12
Reds,Waratahs,3,34,3.14,21.85,1.35
Crusaders,Highlanders,34,8,1.18,24.5,4.69
Bulls,Rebels,40,7,1.06,33.19,8.42
Brumbies,Force,47,25,1.26,22.85,3.79
Blues,Chiefs,8,11,1.88,19.33,1.93
Waratahs,Highlanders,44,16,1.24,23.25,3.99
Cheetahs,Sharks,27,20,3.19,22.71,1.34
Stormers,Bulls,16,0,1.62,20.46,2.3
Force,Reds,30,20,1.64,20.21,2.26
Crusaders,Blues,21,13,1.34,21.63,3.27
Lions,Rebels,34,17,1.38,21.62,3.01
Chiefs,Hurricanes,24,16,1.62,19.87,2.28
Force,Blues,14,40,1.69,20.06,2.16
Waratahs,Brumbies,39,8,1.22,23.77,4.23
Hurricanes,Crusaders,16,9,2.05,19.79,1.77
Rebels,Reds,20,36,1.61,20.15,2.33
Highlanders,Chiefs,29,25,2.02,19.52,1.8
Sharks,Stormers,19,21,1.28,22.5,3.63
Lions,Bulls,32,21,3.3,22.15,1.33
Brumbies,Rebels,37,10,1.19,23.88,4.53
Blues,Hurricanes,37,24,2.03,19.37,1.79
Chiefs,Waratahs,17,33,1.64,19.88,2.26
Reds,Highlanders,38,31,2.22,20.13,1.65
Crusaders,Force,30,7,1.13,27.5,5.7
Stormers,Cheetahs,33,0,1.43,21.92,2.81
Force,Lions,29,19,1.2,24.98,4.35
Hurricanes,Chiefs,45,8,1.99,19.29,1.82
Highlanders,Crusaders,30,32,2.5,21.19,1.52
Bulls,Brumbies,44,23,1.59,20.98,2.36
Rebels,Waratahs,19,41,3.02,21.81,1.37
Blues,Sharks,23,29,1.81,19.37,1.99
Waratahs,Lions,41,17,1.07,31.83,7.22
Cheetahs,Brumbies,27,21,2.52,21.56,1.52
Stormers,Force,24,8,1.67,19.6,2.2
Reds,Rebels,27,30,1.59,19.94,2.36
Crusaders,Sharks,25,30,1.25,23.6,3.87
Hurricanes,Highlanders,16,18,1.3,22.63,3.53
Reds,Crusaders,29,57,3.23,22.77,1.34
Bulls,Stormers,28,12,1.33,22.62,3.28
Cheetahs,Force,16,23,1.55,21.21,2.42
Brumbies,Sharks,16,9,1.47,20.71,2.64
Highlanders,Lions,23,22,1.16,25.79,4.85
Rebels,Hurricanes,15,25,2.32,19.83,1.6
Chiefs,Blues,32,20,1.36,22.29,3.05
Bulls,Cheetahs,26,21,1.45,21.27,2.74
Stormers,Highlanders,29,28,1.6,19.77,2.34
Waratahs,Hurricanes,39,30,1.48,22.02,2.62
Chiefs,Lions,38,8,1.09,31.37,6.85
Crusaders,Brumbies,40,20,1.49,21.35,2.56
Rebels,Sharks,16,22,2.36,20.44,1.58
Blues,Reds,44,14,1.34,22.62,3.2
Cheetahs,Stormers,35,22,1.85,19.29,1.97
Force,Bulls,15,9,1.69,20.17,2.15
Hurricanes,Reds,35,21,1.35,22.08,3.17
Sharks,Highlanders,18,34,1.17,24.75,4.73
Brumbies,Chiefs,41,23,1.54,20.71,2.46
Blues,Waratahs,21,13,2,20.21,1.81
Stormers,Lions,18,3,1.34,22.02,3.23
Sharks,Cheetahs,19,8,1.13,26.63,5.73
Waratahs,Bulls,19,12,1.24,23.73,4.03
Chiefs,Crusaders,17,18,1.53,20.98,2.49
Rebels,Force,22,16,1.78,19.02,2.04
Hurricanes,Blues,39,20,1.54,21.48,2.44
Lions,Sharks,12,25,3.47,23.37,1.3
Cheetahs,Crusaders,31,52,2.4,20.65,1.56
Force,Waratahs,28,16,2.43,21.98,1.55
Chiefs,Rebels,22,16,1.15,26.4,5.12
Reds,Brumbies,20,23,2.02,20.08,1.8
Highlanders,Bulls,27,20,1.58,21.48,2.35
Stormers,Waratahs,11,22,1.65,19.29,2.25
Lions,Crusaders,7,28,2.33,21.12,1.59
Cheetahs,Chiefs,43,43,2.89,21.88,1.41
Reds,Force,29,32,1.34,22.42,3.22
Hurricanes,Bulls,25,20,1.5,21.35,2.57
Brumbies,Blues,26,9,1.45,21.12,2.74
Highlanders,Rebels,33,30,1.33,21.81,3.28
Sharks,Waratahs,32,10,1.43,21.81,2.8
Bulls,Chiefs,34,34,1.75,19.23,2.1
Reds,Stormers,22,17,1.59,19.71,2.36
Blues,Highlanders,30,12,1.47,21.79,2.67
Rebels,Brumbies,32,24,3.17,22.54,1.35
Crusaders,Hurricanes,26,29,1.26,24.73,3.75
Bulls,Sharks,23,19,2.25,19.94,1.64
Lions,Reds,23,20,2.26,19.31,1.64
Force,Chiefs,18,15,3.6,23.1,1.28
Brumbies,Stormers,25,15,1.34,22.1,3.24
Blues,Cheetahs,40,30,1.21,24.75,4.28
Waratahs,Rebels,32,8,1.12,26.58,6.09
Highlanders,Hurricanes,35,31,1.7,19.06,2.16
Sharks,Reds,35,20,1.25,23.54,3.86
Lions,Blues,39,36,2.28,19.75,1.63
Brumbies,Waratahs,28,23,1.93,18.71,1.89
Highlanders,Force,29,31,1.26,23.35,3.74
Hurricanes,Cheetahs,60,27,1.38,22.31,2.99
Rebels,Crusaders,19,25,2.93,22.27,1.4
Chiefs,Stormers,36,20,1.29,22.17,3.56
Sharks,Lions,37,23,1.11,28.52,6
Bulls,Blues,38,22,1.62,20.48,2.29
Force,Rebels,32,7,2.31,20.4,1.61
Crusaders,Stormers,14,13,1.2,25.21,4.34
Reds,Cheetahs,43,33,1.27,23.13,3.67
Hurricanes,Brumbies,21,29,1.67,20.17,2.18
Bulls,Lions,25,17,1.38,22.48,3.03
Force,Brumbies,14,27,3.03,21.93,1.38
Waratahs,Reds,32,5,1.48,21.32,2.65
Chiefs,Highlanders,21,19,1.22,23.64,4.25
Stormers,Hurricanes,19,18,1.37,21.93,3.12
Rebels,Cheetahs,35,14,2.17,20.03,1.7
Blues,Crusaders,35,24,2.78,21.98,1.43
Waratahs,Force,43,21,1.16,25.2,5.07
Lions,Stormers,34,10,3.7,22.61,1.27
Sharks,Hurricanes,27,9,1.16,25.11,4.99
Brumbies,Reds,17,27,1.49,20.34,2.64
Highlanders,Blues,29,21,2.13,19.14,1.73
Cheetahs,Bulls,15,9,1.73,18.66,2.1
Crusaders,Chiefs,10,18,1.54,20.36,2.48
Sharks,Bulls,31,16,1.35,21.16,3.15
Cheetahs,Lions,20,21,1.18,25.16,4.71
Lions,Kings,18,23,1.26,23.33,3.82
Chiefs,Brumbies,27,22,1.31,22.35,3.55
Bulls,Brumbies,23,26,1.29,22.56,3.68
Chiefs,Crusaders,20,19,2.46,20.9,1.57
Kings,Lions,19,26,1.82,19,2
Brumbies,Cheetahs,15,13,1.29,22.4,3.68
Crusaders,Reds,38,9,1.2,24.83,4.43
Stormers,Bulls,30,13,2,19,1.83
Sharks,Kings,58,13,1.02,39.94,12.88
Force,Brumbies,21,15,3.94,23.42,1.25
Waratahs,Reds,12,14,1.71,20.02,2.15
Blues,Chiefs,16,26,2.96,22.13,1.4
Rebels,Highlanders,38,37,1.9,19.63,1.92
Crusaders,Hurricanes,25,17,1.09,31.95,7.35
Bulls,Sharks,20,19,1.36,21,3.2
Kings,Stormers,12,24,8.45,31.77,1.06
Cheetahs,Blues,34,13,1.42,21.33,2.87
Hurricanes,Highlanders,44,49,1.27,23.06,3.73
Crusaders,Chiefs,43,15,1.43,21.38,2.84
Stormers,Cheetahs,28,3,1.49,20.5,2.64
Bulls,Kings,48,18,1.04,34.63,11.17
Sharks,Blues,22,20,1.43,20.83,2.87
Highlanders,Crusaders,12,40,3.21,21.75,1.36
Chiefs,Hurricanes,34,22,1.29,23.23,3.61
Force,Waratahs,13,28,1.6,19.79,2.38
Brumbies,Rebels,39,17,1.15,26,5.39
Cheetahs,Bulls,25,30,2.17,19.18,1.7
Stormers,Kings,19,11,1.07,32.98,7.65
Reds,Rebels,33,20,1.26,22.95,3.81
Highlanders,Blues,38,28,2.43,19.73,1.57
Brumbies,Hurricanes,30,23,1.31,22.07,3.43
Crusaders,Waratahs,23,22,1.17,25.25,4.84
Sharks,Bulls,16,18,1.88,19.18,1.94
Stormers,Reds,20,15,1.73,19.58,2.13
Kings,Cheetahs,22,34,3.64,22.68,1.29
Force,Highlanders,19,18,1.59,20.18,2.39
Blues,Brumbies,13,20,1.6,19.35,2.37
Rebels,Waratahs,24,22,2.98,21.48,1.4
Chiefs,Crusaders,28,19,2.27,19.3,1.65
Cheetahs,Reds,27,13,2.01,19.5,1.81
Bulls,Highlanders,35,18,1.09,30.3,6.78
Waratahs,Brumbies,28,22,1.88,19.35,1.93
Crusaders,Blues,23,3,1.27,22.83,3.73
Force,Sharks,13,23,2.17,19.73,1.7
Rebels,Stormers,30,21,3.14,21.63,1.36
Hurricanes,Chiefs,12,17,2.2,20.95,1.68
Kings,Highlanders,34,27,3.72,23.85,1.27
Waratahs,Stormers,21,15,1.81,19.55,2
Blues,Rebels,36,32,1.13,26.25,5.64
Cheetahs,Hurricanes,34,39,1.32,22.83,3.41
Reds,Sharks,32,17,1.36,21.23,3.17
Chiefs,Force,22,21,1.1,30.75,6.48
Brumbies,Crusaders,23,30,1.61,19.5,2.33
Bulls,Hurricanes,48,14,1.26,22.3,3.83
Kings,Waratahs,10,72,3.39,22.11,1.32
Force,Reds,11,11,3.5,21.35,1.3
Highlanders,Sharks,25,22,1.94,19.3,1.88
Rebels,Chiefs,33,39,3.7,22.43,1.28
Blues,Stormers,18,17,1.63,19.1,2.3
Crusaders,Rebels,30,26,1.04,39.67,13
Cheetahs,Kings,26,12,1.11,30.08,6.3
Bulls,Waratahs,30,19,1.26,23.83,3.74
Brumbies,Force,41,7,1.16,25.05,5.02
Chiefs,Sharks,37,29,1.18,25.25,4.82
Reds,Blues,12,11,1.41,21.35,2.93
Hurricanes,Stormers,16,18,1.73,19.48,2.11
Kings,Bulls,0,34,4.04,23.2,1.24
Sharks,Cheetahs,6,12,1.34,21.88,3.27
Reds,Brumbies,19,19,1.66,19.33,2.25
Crusaders,Highlanders,24,8,1.2,24.88,4.45
Waratahs,Chiefs,25,20,2.54,20.93,1.52
Hurricanes,Force,22,16,1.15,25.89,5.17
Bulls,Cheetahs,26,20,1.38,20.85,3.04
Stormers,Sharks,22,15,1.71,19.4,2.16
Force,Crusaders,16,14,4.14,23,1.23
Rebels,Kings,27,30,1.36,21.53,3.17
Blues,Hurricanes,28,6,1.65,19.85,2.25
Chiefs,Reds,23,31,1.29,21.5,3.66
Highlanders,Brumbies,19,30,2.14,19.8,1.73
Cheetahs,Stormers,26,24,2.7,20.88,1.47
Force,Rebels,23,30,1.42,20.64,2.9
Hurricanes,Waratahs,41,29,1.36,21.94,3.18
Sharks,Crusaders,21,17,1.61,19.31,2.34
Brumbies,Kings,28,28,1.01,39.75,15.75
Blues,Highlanders,29,18,1.38,21,3.07
Waratahs,Force,23,19,1.24,24.09,3.98
Stormers,Crusaders,14,19,1.45,21.05,2.76
Cheetahs,Rebels,34,16,1.11,29.28,6.27
Brumbies,Bulls,23,20,1.3,22.83,3.54
Chiefs,Blues,23,16,1.32,22.69,3.4
Hurricanes,Kings,46,30,1.01,43.86,18.29
Highlanders,Reds,33,34,1.62,19.81,2.33
Waratahs,Blues,30,27,2.25,19.25,1.66
Stormers,Brumbies,35,22,1.65,19.78,2.26
Sharks,Rebels,64,7,1.12,30.09,6.09
Force,Cheetahs,10,19,1.65,20.06,2.23
Reds,Bulls,23,18,1.44,21.25,2.8
Crusaders,Kings,55,20,1.01,47.75,18.38
Chiefs,Highlanders,19,7,1.23,22.89,4.11
Sharks,Brumbies,10,29,1.47,20.83,2.68
Reds,Force,12,19,1.12,28.11,6.19
Crusaders,Bulls,41,19,1.22,24.39,4.26
Kings,Chiefs,24,35,7.65,32.33,1.08
Waratahs,Cheetahs,26,27,1.31,23.48,3.44
Highlanders,Hurricanes,19,23,1.71,20,2.15
Blues,Bulls,21,28,1.29,24.22,3.53
Kings,Sharks,12,21,7.76,33.25,1.07
Stormers,Chiefs,36,34,1.8,19.03,2.04
Brumbies,Waratahs,35,6,1.36,22.11,3.1
Highlanders,Cheetahs,19,36,1.11,29.44,6.23
Rebels,Reds,13,23,3.16,22.22,1.36
Hurricanes,Crusaders,29,28,2.48,20.78,1.54
Sharks,Stormers,12,6,1.56,20.02,2.44
Bulls,Force,36,26,1.08,30.05,7.36
Chiefs,Cheetahs,45,3,1.07,31.16,8.03
Reds,Hurricanes,18,12,1.52,21.11,2.56
Waratahs,Rebels,31,26,1.19,25.33,4.64
Blues,Crusaders,34,15,2.53,21.2,1.52
Kings,Force,22,10,4.54,25.56,1.19
Cheetahs,Sharks,22,29,3.01,20.35,1.4
Reds,Waratahs,25,17,1.77,18.3,2.08
Hurricanes,Blues,20,34,1.39,21.45,3.04
Bulls,Stormers,25,17,1.98,18.52,1.85
Rebels,Brumbies,13,30,2.98,21.48,1.4
Highlanders,Chiefs,27,41,1.74,19.5,2.11
Brumbies,Reds,24,6,1.56,20.04,2.46
Rebels,Force,30,23,1.34,22.08,3.27
Chiefs,Sharks,37,6,1.39,20.29,3.06
Stormers,Sharks,19,26,1.54,20.19,2.46
Chiefs,Crusaders,20,17,2.41,19.53,1.58
Reds,Sharks,17,30,1.49,20.04,2.65
Crusaders,Bulls,28,13,1.18,24.5,4.79
Bulls,Lions,37,20,1.06,32.37,8.1
Sharks,Cheetahs,34,15,1.1,29.36,6.2
Stormers,Rebels,26,21,1.04,34.08,9.51
Reds,Waratahs,32,16,1.24,23.68,3.95
Crusaders,Force,38,24,1.01,38.91,13.83
Brumbies,Blues,16,30,1.34,22.29,3.25
Hurricanes,Chiefs,28,25,2.42,21.34,1.56
Lions,Rebels,37,32,1.27,23.82,3.67
Cheetahs,Stormers,6,13,3.36,23.25,1.31
Waratahs,Brumbies,15,19,1.89,19.44,1.91
Blues,Force,32,9,1.08,30.27,6.92
Sharks,Bulls,32,10,1.76,19.2,2.06
Reds,Highlanders,19,13,1.28,23.29,3.61
Chiefs,Crusaders,21,28,2.02,19.5,1.79
Bulls,Cheetahs,40,24,1.14,27.53,5.3
Stormers,Lions,27,17,1.08,30.52,7.21
Force,Brumbies,17,28,2.66,21.86,1.47
Crusaders,Hurricanes,22,23,1.16,26.57,4.96
Rebels,Reds,17,32,3.91,23.95,1.24
Highlanders,Chiefs,21,27,2.28,19.83,1.62
Bulls,Stormers,14,19,1.55,20.05,2.46
Lions,Sharks,38,28,5.08,26.9,1.15
Waratahs,Hurricanes,12,33,1.7,19.15,2.17
Blues,Chiefs,34,41,3.96,22.95,1.24
Rebels,Brumbies,19,27,3.98,23.16,1.23
Crusaders,Highlanders,51,18,1.2,24.39,4.35
Sharks,Stormers,25,20,1.73,19.27,2.11
Cheetahs,Waratahs,35,34,1.66,19.78,2.22
Force,Lions,17,11,1.36,22.59,3.12
Brumbies,Reds,12,13,1.9,18.97,1.93
Blues,Highlanders,20,27,2.5,20.2,1.53
Hurricanes,Rebels,66,24,1.22,25.12,4.08
Chiefs,Bulls,28,22,1.44,21.38,2.76
Force,Rebels,31,32,1.89,18.67,1.93
Stormers,Waratahs,19,13,1.27,23.03,3.7
Cheetahs,Sharks,20,34,2.32,19.64,1.61
Reds,Lions,34,20,1.05,32.72,8.28
Crusaders,Blues,59,12,1.17,25.19,4.83
Highlanders,Bulls,16,11,1.97,18.57,1.85
Hurricanes,Brumbies,25,37,1.44,21.32,2.79
Reds,Chiefs,42,27,1.95,18.61,1.86
Stormers,Cheetahs,16,14,1.19,25.66,4.56
Sharks,Force,53,11,1.15,27.41,5.08
Rebels,Crusaders,28,19,5.84,29.29,1.12
Highlanders,Hurricanes,20,26,1.61,20.18,2.3
Waratahs,Bulls,24,27,1.89,19.15,1.91
Blues,Lions,25,3,1.21,24.64,4.25
Crusaders,Reds,15,11,1.15,27.82,5.01
Cheetahs,Force,17,13,1.32,23.13,3.32
Sharks,Highlanders,28,16,1.45,21.33,2.74
Brumbies,Waratahs,23,6,1.83,18.91,1.98
Chiefs,Lions,34,21,1.04,38.58,9.18
Rebels,Bulls,35,41,5.08,28.79,1.15
Hurricanes,Blues,35,19,1.5,20.13,2.6
Waratahs,Crusaders,33,37,3.94,22,1.26
Cheetahs,Highlanders,33,36,1.8,19.28,2.01
Force,Stormers,3,17,2.95,21.88,1.39
Chiefs,Hurricanes,33,14,1.34,22.01,3.2
Lions,Brumbies,20,34,2.16,19.65,1.69
Blues,Reds,11,23,1.43,21.71,2.81
Bulls,Brumbies,36,34,1.1,27.99,6.18
Sharks,Chiefs,12,18,1.69,19.6,2.16
Waratahs,Rebels,30,21,1.11,27.96,5.97
Hurricanes,Crusaders,14,42,3.31,22.04,1.33
Reds,Stormers,13,23,2.1,19.42,1.73
Highlanders,Blues,30,27,1.51,20.55,2.53
Lions,Bulls,18,32,4.17,25.12,1.21
Cheetahs,Chiefs,33,39,2.08,19.41,1.75
Brumbies,Rebels,37,6,1.47,21.09,2.66
Crusaders,Stormers,31,24,1.58,19.49,2.39
Force,Waratahs,18,23,2.31,19.95,1.61
Blues,Sharks,23,29,1.67,20.05,2.19
Bulls,Crusaders,32,30,1.69,19.84,2.16
Cheetahs,Lions,26,5,1.44,21.66,2.77
Highlanders,Stormers,6,21,1.82,19.39,1.99
Force,Chiefs,12,20,2.73,20.36,1.46
Reds,Brumbies,20,13,1.68,20.57,2.18
Hurricanes,Sharks,42,18,1.97,18.98,1.84
Rebels,Blues,34,23,3.37,23,1.31
Stormers,Bulls,20,17,1.57,20.28,2.38
Lions,Crusaders,13,23,3.46,23.52,1.29
Force,Reds,45,19,2.05,19.54,1.75
Brumbies,Sharks,26,29,2.12,19.79,1.71
Chiefs,Waratahs,30,13,1.49,21.33,2.59
Hurricanes,Cheetahs,38,47,1.27,24.41,3.63
Highlanders,Rebels,43,12,1.31,22.8,3.37
Lions,Stormers,19,24,3.53,22.91,1.29
Bulls,Reds,61,8,1.28,23.34,3.59
Brumbies,Highlanders,33,26,2.31,20.56,1.61
Crusaders,Cheetahs,28,21,1.07,34.93,7.43
Waratahs,Sharks,34,30,1.62,20.45,2.29
Rebels,Force,30,29,2.06,19.36,1.77
Blues,Hurricanes,25,26,1.53,20.69,2.5
Rebels,Cheetahs,26,33,1.56,21.13,2.43
Sharks,Reds,27,22,1.58,20,2.4
Waratahs,Force,20,21,1.14,26.09,5.29
Hurricanes,Highlanders,17,19,2.02,19.73,1.81
Stormers,Blues,27,17,1.4,22.18,2.94
Chiefs,Brumbies,29,22,1.13,26.45,5.55
Bulls,Blues,23,29,1.42,20.68,2.86
Sharks,Lions,32,20,1.19,25.17,4.52
Reds,Rebels,11,6,1.12,26.3,5.81
Highlanders,Waratahs,18,17,1.69,19.25,2.19
Brumbies,Cheetahs,24,23,1.32,22.33,3.38
Force,Hurricanes,19,46,1.82,18.77,2.01
Crusaders,Chiefs,19,24,1.41,20.6,2.88
Stormers,Sharks,15,12,1.49,20.69,2.63
Cheetahs,Bulls,19,51,2.29,20.27,1.63
Reds,Force,35,20,1.18,26.2,4.63
Highlanders,Crusaders,27,24,2.99,21.8,1.39
Lions,Hurricanes,28,30,1.61,20,2.33
Rebels,Waratahs,19,35,3.06,22.2,1.38
Chiefs,Blues,29,14,2.54,20.2,1.52
Lions,Cheetahs,27,25,1.56,19.52,2.46
Stormers,Hurricanes,39,26,1.19,22.83,4.66
Waratahs,Reds,21,25,1.89,19.22,1.94
Chiefs,Highlanders,19,23,1.36,20.75,3.21
Bulls,Sharks,18,13,1.74,19.02,2.13
Brumbies,Force,19,17,1.6,19.81,2.35
Blues,Crusaders,18,19,1.68,19.43,2.21
Reds,Crusaders,18,13,2.43,18.5,1.58
Stormers,Crusaders,10,29,2.15,18.36,1.71
Reds,Blues,30,13,2.88,20.57,1.41
Crusaders,Sharks,36,8,1.13,26.25,5.34
Blues,Waratahs,26,13,1.27,22.71,3.56
Cheetahs,Stormers,34,44,3.25,21.29,1.33
