Home team,Away team,Home score,Away score,Home odds,Draw odds,Away odds
Sunwolves,Waratahs,30,31,8.04,45.63,1.07
Highlanders,Reds,36,31,1.06,41.96,8.02
Jaguares,Lions,16,25,2.08,20.39,1.78
Bulls,Stormers,40,3,1.6,20.91,2.37
Sunwolves,Sharks,10,45,3.95,25.88,1.25
Waratahs,Hurricanes,19,20,3,22.73,1.4
Blues,Crusaders,22,24,3.22,22.48,1.36
Brumbies,Rebels,27,34,1.5,22.34,2.65
Chiefs,Highlanders,27,30,1.99,21.19,1.87
Crusaders,Lions,37,18,1.1,35.98,7.2
Lions,Waratahs,44,26,1.23,28.87,4.22
Crusaders,Hurricanes,30,12,1.29,23.42,3.62
Lions,Jaguares,40,23,1.25,25.32,3.95
Waratahs,Highlanders,30,23,2.29,21.05,1.65
Crusaders,Sharks,40,10,1.04,47.5,9.83
Hurricanes,Chiefs,32,31,1.52,21.1,2.61
Sharks,Jaguares,20,10,1.31,21.96,3.55
Lions,Bulls,38,12,1.13,31.95,6
Waratahs,Brumbies,31,40,1.38,22.12,3.22
Crusaders,Blues,54,17,1.1,37.22,7.16
Highlanders,Rebels,43,37,1.2,30.7,4.56
Reds,Sunwolves,48,27,1.25,26.56,4.09
Chiefs,Hurricanes,28,24,2.75,20.31,1.48
Stormers,Sharks,27,16,1.82,20.22,2.01
Bulls,Jaguares,43,34,1.82,20.73,2.01
Waratahs,Sunwolves,77,25,1.1,34.47,6.59
Hurricanes,Blues,42,24,1.15,30.55,5.19
Chiefs,Brumbies,24,19,1.14,31.36,5.42
Reds,Rebels,37,23,2.47,20.49,1.56
Crusaders,Highlanders,45,22,1.25,23.92,3.93
Jaguares,Stormers,25,14,1.36,23.5,3.26
Sharks,Lions,31,24,2.24,20.65,1.74
Sunwolves,Bulls,42,37,3.42,25.98,1.33
Brumbies,Hurricanes,24,12,3.97,28.19,1.26
Highlanders,Chiefs,22,45,1.57,22.7,2.48
Rebels,Waratahs,26,31,2.28,20.81,1.68
Blues,Reds,39,16,1.26,27.96,3.98
Brumbies,Sunwolves,41,31,1.01,47.68,15.67
Reds,Waratahs,41,52,2.93,24.16,1.42
Chiefs,Crusaders,20,34,2.6,22.52,1.53
Blues,Rebels,10,20,1.36,24.1,3.27
Highlanders,Hurricanes,30,14,2.42,22.72,1.59
Stormers,Lions,23,26,2.4,21.69,1.61
Bulls,Brumbies,28,38,1.26,25.64,3.9
Reds,Highlanders,15,18,3.67,24.95,1.29
Chiefs,Waratahs,39,27,1.27,25.43,3.89
Jaguares,Sharks,29,13,1.48,24.13,2.75
Rebels,Sunwolves,40,13,1.09,38.57,7.82
Crusaders,Hurricanes,24,13,1.82,20.97,2.03
Jaguares,Bulls,54,24,1.42,22.55,2.97
Lions,Brumbies,42,24,1.15,32.84,5.57
Sharks,Chiefs,28,24,1.32,23.31,3.55
Waratahs,Highlanders,41,12,2.79,22.16,1.47
Blues,Crusaders,24,32,4.2,27.49,1.24
Sunwolves,Stormers,26,23,3.9,28.53,1.26
Hurricanes,Reds,38,34,1.02,49.57,15.91
Bulls,Sharks,39,33,1.61,21.29,2.42
Stormers,Chiefs,9,15,1.96,21.63,1.89
Brumbies,Rebels,24,27,1.45,21.94,2.86
Highlanders,Lions,39,27,1.34,24.06,3.4
Crusaders,Waratahs,31,29,1.06,44.07,8.88
Sunwolves,Reds,63,28,3.09,22.98,1.4
Blues,Hurricanes,15,36,3.72,23.99,1.29
Sharks,Highlanders,38,12,2.65,21.76,1.52
Stormers,Bulls,29,17,1.67,21.31,2.26
Waratahs,Blues,21,24,1.47,22.45,2.8
Hurricanes,Lions,28,19,1.16,31.01,5.47
Rebels,Crusaders,10,55,6.19,34.47,1.12
Chiefs,Jaguares,19,23,1.15,32.01,5.76
Bulls,Highlanders,28,29,2.47,21.54,1.58
Brumbies,Crusaders,8,21,6.55,39.98,1.11
Blues,Jaguares,13,20,1.37,23.17,3.23
Reds,Lions,27,22,5.06,32.55,1.17
